Bloco Temático,Disciplina,Tópico,Subtópico,Peso
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Lei Geral de Proteção de Dados Pessoais – LGPD (Lei nº 13.709/2018)",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Lei de Acesso à Informação – LAI (Lei nº 12.527/2011)",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,Gestão do conhecimento e comunicação,,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Política nacional de informação e comunicação pública",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Inteligência artificial generativa e comunicação ética",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Plataformas digitais e mediação tecnológica no serviço público",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,"Comunicação governamental e Comunicação Pública: Lei nº 14.129/2021, Decreto nº 3.296/1999 (comunicação social do Poder Executivo Federal); Marco Civil da Internet (Lei nº 12.965/2014).",,não informado
Bloco 2 – Cultura e Educação,Gestão do conhecimento e comunicação,Políticas de comunicação,,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Legislação educacional e normas",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Diretrizes e Bases da Educação Nacional – LDB (Lei nº 9.394/1996).",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Educação como direito e política pública: CF/1988, art. 205-208.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Plano Nacional de Educação (2014–2024): Lei nº 13.005/2014 e alterações.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Educação à distância e tecnologias educacionais",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Modelos e modalidades de EaD: assíncrona, síncrona, híbrida ou semipresencial; modelos industrial, interativo, colaborativo, híbrido.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Plataformas digitais e recursos interativos: conceitos fundamentais, aplicações na educação.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Ensino superior, pesquisa e extensão: Lei nº 9.394/1996; CF/1988.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Políticas para graduação e pós-graduação: PNPG 2025-2029.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Integração entre ensino e pesquisa.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Educação para sustentabilidade: Lei nº 9.795/1999 (educação ambiental).",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"ODS relacionados à educação, cultura e igualdade",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Educação,"Agenda 2030 e integração com políticas públicas.",,não informado
Bloco 2 – Cultura e Educação,Políticas Públicas de Cultura,"Sistema e Plano Nacional de Cultura: Lei nº 12.343/2010; Lei nº 14.835/2024.",,não informado
